text,href,url
"September 2023, issue 21",/journal/216/volumes-and-issues/415-21,https://link.springer.com/journal/216/volumes-and-issues/415-21
"August 2023, issue 20",/journal/216/volumes-and-issues/415-20,https://link.springer.com/journal/216/volumes-and-issues/415-20
"August 2023, issue 19",/journal/216/volumes-and-issues/415-19,https://link.springer.com/journal/216/volumes-and-issues/415-19
"July 2023, issue 18",/journal/216/volumes-and-issues/415-18,https://link.springer.com/journal/216/volumes-and-issues/415-18
"July 2023, issue 17",/journal/216/volumes-and-issues/415-17,https://link.springer.com/journal/216/volumes-and-issues/415-17
"July 2023, issue 16",/journal/216/volumes-and-issues/415-16,https://link.springer.com/journal/216/volumes-and-issues/415-16
"June 2023, issue 15",/journal/216/volumes-and-issues/415-15,https://link.springer.com/journal/216/volumes-and-issues/415-15
"June 2023, issue 14",/journal/216/volumes-and-issues/415-14,https://link.springer.com/journal/216/volumes-and-issues/415-14
"May 2023, issue 13",/journal/216/volumes-and-issues/415-13,https://link.springer.com/journal/216/volumes-and-issues/415-13
"May 2023, issue 12",/journal/216/volumes-and-issues/415-12,https://link.springer.com/journal/216/volumes-and-issues/415-12
"May 2023, issue 11",/journal/216/volumes-and-issues/415-11,https://link.springer.com/journal/216/volumes-and-issues/415-11
"April 2023, issue 10",/journal/216/volumes-and-issues/415-10,https://link.springer.com/journal/216/volumes-and-issues/415-10
"April 2023, issue 9",/journal/216/volumes-and-issues/415-9,https://link.springer.com/journal/216/volumes-and-issues/415-9
"March 2023, issue 8",/journal/216/volumes-and-issues/415-8,https://link.springer.com/journal/216/volumes-and-issues/415-8
"March 2023, issue 7",/journal/216/volumes-and-issues/415-7,https://link.springer.com/journal/216/volumes-and-issues/415-7
"March 2023, issue 6",/journal/216/volumes-and-issues/415-6,https://link.springer.com/journal/216/volumes-and-issues/415-6
"February 2023, issue 5",/journal/216/volumes-and-issues/415-5,https://link.springer.com/journal/216/volumes-and-issues/415-5
"February 2023, issue 4",/journal/216/volumes-and-issues/415-4,https://link.springer.com/journal/216/volumes-and-issues/415-4
