title,issue,issue_href,url,content_type,publish_date,abstract
Rules for mass spectrometry applications in the clinical laboratory,"September 2023, issue 21",/journal/216/volumes-and-issues/415-21,https://link.springer.com/article/10.1007/s00216-023-04648-0,Feature Article,25 March 2023,"MS-based analytical methods now play an important role in medical laboratory analysis. Predominantly triple-stage mass spectrometry is used for the quantification of small molecule biomarkers and xenobiotics in blood and urine. The spectrum of applications ranges from completely in-house developed analytical methods, to industrially manufactured kit solutions used on generic equipment, to the first closed MS-based analysis systems. It is to be expected that the weights will shift in the coming years. Thus, operation and evaluation for most applications will remain very challenging and very different from the far more user-friendly and fully automated systems — mainly photometry-based — which are commonly used in clinical laboratories. General regulatory requirements for medical analysis differ significantly between countries globally. General requirements for in-house developed assay methods are valid in some countries, but concrete and methodology-specific rules for operation and quantification when using MS methods in the medical diagnostic laboratory are not applied. This differs significantly from other bio-analytical areas such as food monitoring, pharmaceutical research, or forensics, where legally binding, detailed rules exist in some cases, e.g., for substance identification. Internationally used relevant and helpful general standards with regard to mass spectrometric examination procedures in the clinical laboratory are in particular CLSI 62A and ISO 15189, while the IVDR in the EU primarily regulates the manufacture of diagnostic articles and not their application. In addition, from many years of application experience, some general advice can be recommended as rules that can contribute to robustness and patient safety in the clinical application of MS procedures; with emphasis on: reasonable method description, batch release, competence management, maintenance, and continuity management. This article also proposes some procedural basic requirements for the application of MS procedures in the clinical laboratory."
Strategies for automating analytical and bioanalytical laboratories,"September 2023, issue 21",/journal/216/volumes-and-issues/415-21,https://link.springer.com/article/10.1007/s00216-023-04727-2,Feature Article,13 May 2023,"Analytical measurement methods are used in different areas of production and quality control, diagnostics, environmental monitoring, or in research applications. If direct inline or online measurement methods are not possible, the samples taken have to be processed offline in the manual laboratory. Automated processes are increasingly being used to enhance throughput and improve the quality of results. In contrast to bioscreening, the degree of automation in (bio)analytical laboratories is still low. This is due in particular to the complexity of the processes, the required process conditions, and the complex matrices of the samples. The requirements of the process to be automated itself and numerous other parameters influence the selection of a suitable automation concept. Different automation strategies can be used to automate (bio)analytical processes. Classically, liquid handler-based systems are used. For more complex processes, systems with central robots are used to transport samples and labware. With the development of new collaborative robots, there will also be the possibility of distributed automation systems in the future, which will enable even more flexible automation and use of all subsystems. The complexity of the systems increases with the complexity of the processes to be automated."
The role of comprehensive two-dimensional gas chromatography in mineral oil determination,"September 2023, issue 21",/journal/216/volumes-and-issues/415-21,https://link.springer.com/article/10.1007/s00216-023-04718-3,Critical Review,06 May 2023,"Mineral oil hydrocarbons (MOH) contain a wide structural diversity of molecules, for which the reference method of analysis is the online coupled liquid chromatography-gas chromatography with flame ionization detection (LC-GC-FID). These compounds are very heterogeneous from a toxicological viewpoint, and an accurate risk assessment when dealing with a MOH contamination can only be performed if sufficient information is available on the types of structures present (i.e., number of carbons, degree of alkylation, number of aromatic rings). Unfortunately, the separation performances of the current LC-GC-FID method are insufficient for such characterization, not even mentioning the possible coelution of interfering compounds which additionally hinder MOH determination. Comprehensive two-dimensional gas chromatography (GC × GC), while mostly used for confirmation purposes in the past, starts to prove its relevance for overcoming the weaknesses of the LC-GC method and reaching even better the analytical requirements defined in the latest EFSA opinion. The present paper therefore aims at highlighting how GC × GC has contributed to the understanding of the MOH topic, how it has developed to meet the requirements of MOH determination, and how it could play a role in the field for overcoming many of the current analytical and toxicological challenges related to the topic."
Confocal micro X-ray fluorescence analysis for the non-destructive investigation of structured and inhomogeneous samples,"September 2023, issue 21",/journal/216/volumes-and-issues/415-21,https://link.springer.com/article/10.1007/s00216-023-04829-x,Critical Review,24 July 2023,"Confocal micro X-ray fluorescence (CMXRF) spectroscopy is a non-destructive, depth-resolved, and element-specific technique that is used to analyze the elemental composition of a sample. For this, a focused beam of mono- or polychromatic X-rays is applied to excite the atoms in the sample, causing them to emit fluorescence radiation which is detected with focusing capillary optics. The confocal design of the instrument allows for depth-resolved analysis, in most cases with a resolution in the lower micrometer dimension after collecting X-rays from a predefined volume within the sample. The element-specific nature of the technique allows information to be obtained about the presence and concentration of specific elements in this volume. This makes CMXRF spectroscopy a valuable tool for a wide range of applications, especially when samples with an inhomogeneous distribution of elements and a relatively light matrix have to be analyzed, which are typical examples in materials science, geology, and biology. The technique is also commonly used in the art and archaeology fields to analyze the elemental composition of historical artifacts and works of art, helping to provide valuable insights into their provenance, composition, and making. Recent technical developments to increase sensitivity and efforts to improve quantification in three-dimensional samples will encourage wider use of this method across a multitude of fields of application in the near future."
Advances in testing for sample manipulation in clinical and forensic toxicology - Part A: urine samples,"September 2023, issue 21",/journal/216/volumes-and-issues/415-21,https://link.springer.com/article/10.1007/s00216-023-04711-w,Critical Review,05 May 2023,"In many countries, adherence testing is used to monitor consumption behavior or to prove abstinence. Urine and hair are most commonly used, although other biological fluids are available. Positive test results are usually associated with serious legal or economic consequences. Therefore, various sample manipulation and adulteration strategies are used to circumvent such a positive result. In these critical review articles on sample adulteration of urine (part A) and hair samples (part B) in the context of clinical and forensic toxicology, recent trends and strategies to improve sample adulteration and manipulation testing published in the past 10 years are described and discussed. Typical manipulation and adulteration strategies include undercutting the limits of detection/cut-off by dilution, substitution, and adulteration. New or alternative strategies for detecting sample manipulation attempts can be generally divided into improved detection of established urine validity markers and direct and indirect techniques or approaches to screening for new adulteration markers. In this part A of the review article, we focused on urine samples, where the focus in recent years has been on new (in)direct substitution markers, particularly for synthetic (fake) urine. Despite various and promising advances in detecting manipulation, it remains a challenge in clinical and forensic toxicology, and simple, reliable, specific, and objective markers/techniques are still lacking, for example, for synthetic urine."
Advances in testing for sample manipulation in clinical and forensic toxicology—part B: hair samples,"September 2023, issue 21",/journal/216/volumes-and-issues/415-21,https://link.springer.com/article/10.1007/s00216-023-04706-7,Critical Review,28 April 2023,"As a continuation of part A, focusing on advances in testing for sample manipulation of urine samples in clinical and forensic toxicology, part B of the review article relates to hair, another commonly used matrix for abstinence control testing. Similar to urine manipulation, relevant strategies to manipulate a hair test are lowering drug concentrations in hair to undercut the limits of detection/cut-offs, for instance, by forced washout effects or adulteration. However, distinguishing between usual, common cosmetic hair treatment and deliberate manipulation to circumvent a positive drug test is often impossible. Nevertheless, the identification of cosmetic hair treatment is very relevant in the context of hair testing and interpretation of hair analysis results. Newly evaluated techniques or elucidation of specific biomarkers to unravel adulteration or cosmetic treatment often focused on specific structures of the hair matrix with promising strategies recently proposed for daily routine work. Identification of other approaches, e.g., forced hair-washing procedures, still remains a challenge in clinical and forensic toxicology."
Integrated microscale immiscible phase extraction and isothermal amplification for colorimetric detection of Neisseria gonorrhoeae,"September 2023, issue 21",/journal/216/volumes-and-issues/415-21,https://link.springer.com/article/10.1007/s00216-023-04734-3,Research Paper,18 May 2023,"Gonorrhea is the second most common sexually transmitted infection (STI) with around 87 million cases worldwide estimated in 2016 by the World Health Organization. With over half of the cases being asymptomatic, potential life-threatening complications and increasing numbers of drug-resistant strains, routine monitoring of prevalence and incidence of infections are key preventive measures. Whilst gold standard qPCR tests have excellent accuracy, they are neither affordable nor accessible in low-resource settings. In this study, we developed a lab-on-a-chip platform based on microscale immiscible filtration to extract, concentrate and purify Neisseria gonorrhoeae DNA with an integrated detection assay based on colorimetric isothermal amplification. The platform was capable of detecting as low as 500 copies/mL from spiked synthetic urine and showed no cross-reactivity when challenged with DNAs from other common STIs. The credit card–size device allows DNA extraction and purification without power or centrifuges, and the detection reaction only needs a low-tech block heater, providing a straightforward and visual positive/negative result within 1 h. These advantages offer great potential for accurate, affordable and accessible monitoring of gonorrhea infection in resource-poor settings."
Immunomagnetic separation coupled with flow cytometry for the analysis of Legionella pneumophila in aerosols,"September 2023, issue 21",/journal/216/volumes-and-issues/415-21,https://link.springer.com/article/10.1007/s00216-023-04738-z,Research Paper,18 May 2023,"Legionella pneumophila are pathogenic bacteria that can be found in high concentrations in artificial water systems like evaporative cooling towers, which have been the source of frequent outbreaks in recent years. Since inhaled L. pneumophila can lead to Legionnaires’ disease, the development of suitable sampling and rapid analysis strategies for these bacteria in aerosols is therefore of great relevance. In this work, different concentrations of viable L. pneumophila Sg 1 were nebulized and sampled by the cyclone sampler Coriolis® µ under defined conditions in a bioaerosol chamber. To quantify intact Legionella cells, the collected bioaerosols were subsequently analyzed by immunomagnetic separation coupled with flow cytometry (IMS-FCM) on the platform rqmicro.COUNT. For analytical comparison, measurements with qPCR and cultivation were performed. Limits of detection (LOD) of 2.9 × 103 intact cells m−3 for IMS-FCM and 7.8 × 102 intact cells m−3 for qPCR indicating a comparable sensitivity as in culture (LOD = 1.5 × 103 culturable cells m−3). Over a working range of 103 − 106 cells mL−1, the analysis of nebulized and collected aerosol samples with IMS-FCM and qPCR provides higher recovery rates and more consistent results than by cultivation. Overall, IMS-FCM is a suitable culture-independent method for quantification of L. pneumophila in bioaerosols and is promising for field application due to its simplicity in sample preparation."
Tailored extraction and ion mobility-mass spectrometry enables isotopologue analysis of tetrahydrofolate vitamers,"September 2023, issue 21",/journal/216/volumes-and-issues/415-21,https://link.springer.com/article/10.1007/s00216-023-04786-5,Research Paper,22 June 2023,"Climate change directs the focus in biotechnology increasingly on one-carbon metabolism for fixation of CO2 and CO2-derived chemicals (e.g. methanol, formate) to reduce our reliance on both fossil and food-competing carbon sources. The tetrahydrofolate pathway is involved in several one-carbon fixation pathways. To study such pathways, stable isotope-labelled tracer analysis performed with mass spectrometry is state of the art. However, no such method is currently available for tetrahydrofolate vitamers. In the present work, we established a fit-for-purpose extraction method for the methylotrophic yeast Komagataella phaffii that allows access to intracellular methyl- and methenyl-tetrahydrofolate (THF) with demonstrated stability over several hours. To determine isotopologue distributions of methyl-THF, LC-QTOFMS provides a selective fragment ion with suitable intensity of at least two isotopologues in all samples, but not for methenyl-THF. However, the addition of ion mobility separation provided a critical selectivity improvement allowing accurate isotopologue distribution analysis of methenyl-THF with LC-IM-TOFMS. Application of these new methods for 13C-tracer experiments revealed a decrease from 83 ± 4 to 64 ± 5% in the M + 0 carbon isotopologue fraction in methyl-THF after 1 h of labelling with formate, and to 54 ± 5% with methanol. The M + 0 carbon isotopologue fraction of methenyl-THF was reduced from 83 ± 2 to 78 ± 1% over the same time when using 13C-methanol labelling. The labelling results of multiple strains evidenced the involvement of the THF pathway in the oxygen-tolerant reductive glycine pathway, the presence of the in vivo reduction of formate to formaldehyde, and the activity of the spontaneous condensation reaction of formaldehyde with THF in K. phaffii."
"Detection, chemical analysis, and pharmacological characterization of dipyanone and other new synthetic opioids related to prescription drugs","September 2023, issue 21",/journal/216/volumes-and-issues/415-21,https://link.springer.com/article/10.1007/s00216-023-04722-7,Research Paper,13 May 2023,"The emergence of structurally diverse new synthetic opioids (NSOs) has caused the opioid crisis to spiral to new depths. Little information is available about the pharmacology of most novel opioids when they first emerge. Here, using a β-arrestin 2 recruitment assay, we investigated the in vitro μ-opioid receptor (MOR) activation potential of dipyanone, desmethylmoramide, and acetoxymethylketobemidone (O-AMKD) — recent NSOs that are structurally related to the prescription opioids methadone and ketobemidone. Our findings indicate that dipyanone (EC50=39.9 nM; Emax=155% vs. hydromorphone) is about equally active as methadone (EC50=50.3 nM; Emax=152%), whereas desmethylmoramide (EC50=1335 nM; Emax=126%) is considerably less active. A close structural analogue of ketobemidone (EC50=134 nM; Emax=156%) and methylketobemidone (EC50=335 nM; Emax=117%), O-AMKD showed a lower potency (EC50=1262 nM) and efficacy (Emax=109%). Evaluation of the opioid substitution product buprenorphine and its metabolite norbuprenorphine confirmed the increased in vitro efficacy of the latter. In addition to in vitro characterization, this report details the first identification and full chemical analysis of dipyanone in a seized powder, as well as a postmortem toxicology case from the USA involving the drug. Dipyanone was quantified in blood (370 ng/mL), in which it was detected alongside other NSOs (e.g., 2-methyl AP-237) and novel benzodiazepines (e.g., flualprazolam). While dipyanone is currently not commonly encountered in forensic samples worldwide, its emergence is worrisome and representative of the dynamic NSO market."
