text,href,url
"August 2023, issue 8",/journal/10809/volumes-and-issues/78-8,https://link.springer.com/journal/10809/volumes-and-issues/78-8
"July 2023, issue 7",/journal/10809/volumes-and-issues/78-7,https://link.springer.com/journal/10809/volumes-and-issues/78-7
"June 2023, issue 6",/journal/10809/volumes-and-issues/78-6,https://link.springer.com/journal/10809/volumes-and-issues/78-6
"May 2023, issue 5",/journal/10809/volumes-and-issues/78-5,https://link.springer.com/journal/10809/volumes-and-issues/78-5
"April 2023, issue 4",/journal/10809/volumes-and-issues/78-4,https://link.springer.com/journal/10809/volumes-and-issues/78-4
"March 2023, issue 3",/journal/10809/volumes-and-issues/78-3,https://link.springer.com/journal/10809/volumes-and-issues/78-3
"February 2023, issue 2",/journal/10809/volumes-and-issues/78-2,https://link.springer.com/journal/10809/volumes-and-issues/78-2
"January 2023, issue 1",/journal/10809/volumes-and-issues/78-1,https://link.springer.com/journal/10809/volumes-and-issues/78-1
"December 2022, issue 14",/journal/10809/volumes-and-issues/77-14,https://link.springer.com/journal/10809/volumes-and-issues/77-14
"December 2022, issue 13",/journal/10809/volumes-and-issues/77-13,https://link.springer.com/journal/10809/volumes-and-issues/77-13
"December 2022, issue 12",/journal/10809/volumes-and-issues/77-12,https://link.springer.com/journal/10809/volumes-and-issues/77-12
"November 2022, issue 11",/journal/10809/volumes-and-issues/77-11,https://link.springer.com/journal/10809/volumes-and-issues/77-11
"October 2022, issue 10",/journal/10809/volumes-and-issues/77-10,https://link.springer.com/journal/10809/volumes-and-issues/77-10
"September 2022, issue 9",/journal/10809/volumes-and-issues/77-9,https://link.springer.com/journal/10809/volumes-and-issues/77-9
"August 2022, issue 8",/journal/10809/volumes-and-issues/77-8,https://link.springer.com/journal/10809/volumes-and-issues/77-8
"July 2022, issue 7",/journal/10809/volumes-and-issues/77-7,https://link.springer.com/journal/10809/volumes-and-issues/77-7
"June 2022, issue 6",/journal/10809/volumes-and-issues/77-6,https://link.springer.com/journal/10809/volumes-and-issues/77-6
"May 2022, issue 5",/journal/10809/volumes-and-issues/77-5,https://link.springer.com/journal/10809/volumes-and-issues/77-5
"April 2022, issue 4",/journal/10809/volumes-and-issues/77-4,https://link.springer.com/journal/10809/volumes-and-issues/77-4
"March 2022, issue 3",/journal/10809/volumes-and-issues/77-3,https://link.springer.com/journal/10809/volumes-and-issues/77-3
"February 2022, issue 2",/journal/10809/volumes-and-issues/77-2,https://link.springer.com/journal/10809/volumes-and-issues/77-2
"January 2022, issue 1",/journal/10809/volumes-and-issues/77-1,https://link.springer.com/journal/10809/volumes-and-issues/77-1
"December 2021, issue 14",/journal/10809/volumes-and-issues/76-14,https://link.springer.com/journal/10809/volumes-and-issues/76-14
"December 2021, issue 13",/journal/10809/volumes-and-issues/76-13,https://link.springer.com/journal/10809/volumes-and-issues/76-13
"December 2021, issue 12",/journal/10809/volumes-and-issues/76-12,https://link.springer.com/journal/10809/volumes-and-issues/76-12
"November 2021, issue 11",/journal/10809/volumes-and-issues/76-11,https://link.springer.com/journal/10809/volumes-and-issues/76-11
"October 2021, issue 10",/journal/10809/volumes-and-issues/76-10,https://link.springer.com/journal/10809/volumes-and-issues/76-10
"September 2021, issue 9",/journal/10809/volumes-and-issues/76-9,https://link.springer.com/journal/10809/volumes-and-issues/76-9
"August 2021, issue 8",/journal/10809/volumes-and-issues/76-8,https://link.springer.com/journal/10809/volumes-and-issues/76-8
"July 2021, issue 7",/journal/10809/volumes-and-issues/76-7,https://link.springer.com/journal/10809/volumes-and-issues/76-7
"June 2021, issue 6",/journal/10809/volumes-and-issues/76-6,https://link.springer.com/journal/10809/volumes-and-issues/76-6
"May 2021, issue 5",/journal/10809/volumes-and-issues/76-5,https://link.springer.com/journal/10809/volumes-and-issues/76-5
"April 2021, issue 4",/journal/10809/volumes-and-issues/76-4,https://link.springer.com/journal/10809/volumes-and-issues/76-4
"March 2021, issue 3",/journal/10809/volumes-and-issues/76-3,https://link.springer.com/journal/10809/volumes-and-issues/76-3
"February 2021, issue 2",/journal/10809/volumes-and-issues/76-2,https://link.springer.com/journal/10809/volumes-and-issues/76-2
"January 2021, issue 1",/journal/10809/volumes-and-issues/76-1,https://link.springer.com/journal/10809/volumes-and-issues/76-1
"December 2020, issue 14",/journal/10809/volumes-and-issues/75-14,https://link.springer.com/journal/10809/volumes-and-issues/75-14
"December 2020, issue 13",/journal/10809/volumes-and-issues/75-13,https://link.springer.com/journal/10809/volumes-and-issues/75-13
"December 2020, issue 12",/journal/10809/volumes-and-issues/75-12,https://link.springer.com/journal/10809/volumes-and-issues/75-12
"November 2020, issue 11",/journal/10809/volumes-and-issues/75-11,https://link.springer.com/journal/10809/volumes-and-issues/75-11
"October 2020, issue 10",/journal/10809/volumes-and-issues/75-10,https://link.springer.com/journal/10809/volumes-and-issues/75-10
"September 2020, issue 9",/journal/10809/volumes-and-issues/75-9,https://link.springer.com/journal/10809/volumes-and-issues/75-9
"August 2020, issue 8",/journal/10809/volumes-and-issues/75-8,https://link.springer.com/journal/10809/volumes-and-issues/75-8
"July 2020, issue 7",/journal/10809/volumes-and-issues/75-7,https://link.springer.com/journal/10809/volumes-and-issues/75-7
"June 2020, issue 6",/journal/10809/volumes-and-issues/75-6,https://link.springer.com/journal/10809/volumes-and-issues/75-6
"May 2020, issue 5",/journal/10809/volumes-and-issues/75-5,https://link.springer.com/journal/10809/volumes-and-issues/75-5
"April 2020, issue 4",/journal/10809/volumes-and-issues/75-4,https://link.springer.com/journal/10809/volumes-and-issues/75-4
"March 2020, issue 3",/journal/10809/volumes-and-issues/75-3,https://link.springer.com/journal/10809/volumes-and-issues/75-3
"February 2020, issue 2",/journal/10809/volumes-and-issues/75-2,https://link.springer.com/journal/10809/volumes-and-issues/75-2
"January 2020, issue 1",/journal/10809/volumes-and-issues/75-1,https://link.springer.com/journal/10809/volumes-and-issues/75-1
"December 2019, issue 14",/journal/10809/volumes-and-issues/74-14,https://link.springer.com/journal/10809/volumes-and-issues/74-14
"December 2019, issue 13",/journal/10809/volumes-and-issues/74-13,https://link.springer.com/journal/10809/volumes-and-issues/74-13
"December 2019, issue 12",/journal/10809/volumes-and-issues/74-12,https://link.springer.com/journal/10809/volumes-and-issues/74-12
"November 2019, issue 11",/journal/10809/volumes-and-issues/74-11,https://link.springer.com/journal/10809/volumes-and-issues/74-11
"October 2019, issue 10",/journal/10809/volumes-and-issues/74-10,https://link.springer.com/journal/10809/volumes-and-issues/74-10
"September 2019, issue 9",/journal/10809/volumes-and-issues/74-9,https://link.springer.com/journal/10809/volumes-and-issues/74-9
"September 2019, issue 2",/journal/10809/volumes-and-issues/74-2/supplement,https://link.springer.com/journal/10809/volumes-and-issues/74-2/supplement
"August 2019, issue 8",/journal/10809/volumes-and-issues/74-8,https://link.springer.com/journal/10809/volumes-and-issues/74-8
"July 2019, issue 7",/journal/10809/volumes-and-issues/74-7,https://link.springer.com/journal/10809/volumes-and-issues/74-7
"July 2019, issue 1",/journal/10809/volumes-and-issues/74-1/supplement,https://link.springer.com/journal/10809/volumes-and-issues/74-1/supplement
"June 2019, issue 6",/journal/10809/volumes-and-issues/74-6,https://link.springer.com/journal/10809/volumes-and-issues/74-6
"May 2019, issue 5",/journal/10809/volumes-and-issues/74-5,https://link.springer.com/journal/10809/volumes-and-issues/74-5
"April 2019, issue 4",/journal/10809/volumes-and-issues/74-4,https://link.springer.com/journal/10809/volumes-and-issues/74-4
"March 2019, issue 3",/journal/10809/volumes-and-issues/74-3,https://link.springer.com/journal/10809/volumes-and-issues/74-3
"February 2019, issue 2",/journal/10809/volumes-and-issues/74-2,https://link.springer.com/journal/10809/volumes-and-issues/74-2
"January 2019, issue 1",/journal/10809/volumes-and-issues/74-1,https://link.springer.com/journal/10809/volumes-and-issues/74-1
"December 2018, issue 14",/journal/10809/volumes-and-issues/73-14,https://link.springer.com/journal/10809/volumes-and-issues/73-14
"December 2018, issue 13",/journal/10809/volumes-and-issues/73-13,https://link.springer.com/journal/10809/volumes-and-issues/73-13
"December 2018, issue 12",/journal/10809/volumes-and-issues/73-12,https://link.springer.com/journal/10809/volumes-and-issues/73-12
"November 2018, issue 11",/journal/10809/volumes-and-issues/73-11,https://link.springer.com/journal/10809/volumes-and-issues/73-11
"October 2018, issue 10",/journal/10809/volumes-and-issues/73-10,https://link.springer.com/journal/10809/volumes-and-issues/73-10
"September 2018, issue 9",/journal/10809/volumes-and-issues/73-9,https://link.springer.com/journal/10809/volumes-and-issues/73-9
"August 2018, issue 8",/journal/10809/volumes-and-issues/73-8,https://link.springer.com/journal/10809/volumes-and-issues/73-8
"July 2018, issue 7",/journal/10809/volumes-and-issues/73-7,https://link.springer.com/journal/10809/volumes-and-issues/73-7
"June 2018, issue 6",/journal/10809/volumes-and-issues/73-6,https://link.springer.com/journal/10809/volumes-and-issues/73-6
