title,issue,issue_href,url,content_type,publish_date,abstract
Optical Multisensor Systems in Analytical Spectroscopy,"March 2022, issue 3",/journal/10809/volumes-and-issues/77-3,https://link.springer.com/article/10.1134/S1061934822030030,"('REVIEWS',)",31 March 2022,"A review of works in developing optical multisensor systems, a new class of specialized spectroscopic analyzers, is presented. The development and use of such systems for analyzing food products, monitoring of pharmaceutical production processes, in biotechnology, medical diagnostics, and ecology are considered on practical examples."
Liquid–Liquid Extraction of Organic Compounds into a Single Drop of the Extractant: Overview of Reviews,"August 2021, issue 8",/journal/10809/volumes-and-issues/76-8,https://link.springer.com/article/10.1134/S1061934821080049,"('REVIEWS',)",29 July 2021,"Single-drop microextraction (SDME) and hollow-fiber membrane microextraction (HFME) belong to methods of the liquid-phase microextraction preconcentration of organic compounds. These methods are characterized by the low consumption of organic solvents, high preconcentration factors, simplicity, low cost, ease of combination with various chromatographic methods; processes of preconcentration and sample injection are combined in a single device. Since the emergence of SDME (1996) and HFME (1999), a large number of versions have been developed that differ in the preconcentration technique, nature of the extractants used, and combinations with methods for the subsequent determination of the preconcentrated substances. The popularity of these methods among the analysts is evidenced by many reviews that we have summarized in this publication."
"Determination of Lanthanides in Coal Fly Ash, Sediment and Monazite Sand by Inductively Coupled Plasma Optical Emission Spectrometry After Separation Using Oxalate form of Ion-Exchange Resin","February 2021, issue 2",/journal/10809/volumes-and-issues/76-2,https://link.springer.com/article/10.1134/S1061934821020155,"('ARTICLES',)",23 February 2021,"A method has been developed for the separation of lanthanides, Ce, Nd, Gd, La, Pr, Sm, Dy, Eu, Er, Ho, Yb, Tm, Tb and Lu, using oxalate form of Dowex-1, a reactive ion-exchanger. Lanthanides present in such samples as monazite sand, coal fly ash and sediment were separated from matrix at pH 2.5 in a column containing oxalate form of Dowex-1 resin. The samples have been decomposed in H2SO4 and taken in 0.36 M H2SO4 prior to separation. The lanthanides in the column were eluted with 2 M HNO3. Lanthanides present in the eluent were determined by inductively coupled plasma optical emission spectrometry (ICP−OES) and the recovery of analytes ranged from 92 to 105%. Matrix free solutions were analyzed for lanthanides by ICP−OES. The relative standard deviation was in the range of 4–7% and limits of detection were between 0.015–0.16 mg/kg. The developed procedure was applied to the separation and determination of lanthanides in a standard reference material NIST Coal Fly Ash 1633b, a lake sediment and monazite sand. The results obtained by the present method are in close agreement with certified values in case of certified reference material and microwave digestion method for other samples. Accuracy of other samples is ensured based on standard addition recoveries."
"Application of Atmospheric Pressure Photoionization to the Determination of 1,1-Dimethylhydrazine Transformation Products by Liquid Chromatography/Mass Spectrometry","December 2020, issue 13",/journal/10809/volumes-and-issues/75-13,https://link.springer.com/article/10.1134/S1061934820130109,"('ARTICLES',)",20 December 2020,"The behavior of eight nitrogen-containing toxic products of rocket fuel transformation (formaldehyde dimethylhydrazone, N,N-dimethylformamide, N,N-dimethylguanidine, 1,2,4-triazole, pyridine, imidazole, pyrazine, pyrazole) under conditions of dopant-free atmospheric pressure photoionization was studied. It was found that the analytes under study give intense signals of protonated molecules, while the efficiency of ionization largely depends on temperature, as well as on the solvent composition and flow rate. Based on a combination of atmospheric pressure photoionization with chromatographic separation on porous graphitized carbon, we proposed a new approach to the highly sensitive determination of rocket fuel transformation products. The developed approach is distinguished by minimal matrix interferences and was successfully tested in the analysis of real samples."
Simultaneous Determination of Sulfur Mustard Adducts with Guanine and Acetylcysteine in Urine by High-Resolution High-Performance Liquid Chromatography–Tandem Mass Spectrometry,"August 2020, issue 8",/journal/10809/volumes-and-issues/75-8,https://link.springer.com/article/10.1134/S1061934820060155,"('ARTICLES',)",31 July 2020,"We propose a procedure for the simultaneous determination of biomarkers of the action of sulfur mustard (SM, 2,2'-dichlorodiethyl sulfide), namely, a depurinized adduct with DNA (N7-hydroxyethylthioethyl guanine) and an adduct with acetylcysteine (ACC) (1,1'-sulfonylbis[2-S-(N-acetylcysteinyl)ethane]), in urine by high-resolution HPLC–tandem mass spectrometry with electrospray ionization. The limit of quantification reached for both analytes is 10 ng/mL. The calibration plots are linear in the range 10–200 ng/mL. The procedure was tested in the analysis of urine samples obtained after the subcutaneous administration of sulfur mustard to rats in nonlethal dose (2 mg/kg) both in the absence of therapy and in using ACC as a scavenger (antidote). The positive effect of ACC therapy on the kinetics of sulfur mustard excretion from a body in the first hours after poisoning was found at the molecular level for the first time, and the protective effect of ACC on DNA in case of damage with sulfur mustard was substantiated."
Central Composite Design for Optimizing Hollow Fiber Liquid Phase Microextraction of Carbamazepine from Aqueous and Biological Samples,"February 2020, issue 2",/journal/10809/volumes-and-issues/75-2,https://link.springer.com/article/10.1134/S1061934820020033,"('ARTICLES',)",18 March 2020,"A simple, sensitive and efficient method based on hollow fiber liquid phase microextraction followed by high performance liquid chromatography has been developed for preconcentration and determination of trace carbamazepine, an antiepileptic drug, in aqueous and biological solutions.The main parameters affecting the extraction efficiency were studied using response surface methodology. Central composite design was performed at five levels of extraction time, pH and ionic strength. The final model showed good linearity and performance. The optimal conditions were observed at 48.5 min, 8.9 and 0.29 M for extraction time, pH and ionic strength, respectively. The calibration curve was linear in the range of 5–500 µg/L with correlation coefficient of 0.9999 and limit of detection of 2.8 µg/L. Finally, the applicability of the proposed method was evaluated by extraction and determination of the drug in aqueous and plasma samples. The intra- and inter-day coefficients of variation were less than 4.7 for all real samples."
viQC: Visual and Intuitive Quality Control for Mass Spectrometry-Based Proteome Analysis,"December 2019, issue 14",/journal/10809/volumes-and-issues/74-14,https://link.springer.com/article/10.1134/S1061934819140119,"('ARTICLES',)",30 December 2019,"Mass spectrometry-based bottom-up proteomics becomes a method of choice in a broad range of biomedical studies. However, because of the growing complexity of the mass spectrometers employed in these studies, there is an increasing need in robust and rapid quality control over the instrument performance. A variety of quality control tools targeting all aspects of LC–MS instrument operation have been developed recently. These tools are typically loaded heavily with a large number of metrics. Many of these metrics are difficult for interpretation for regular users without extensive instrumentation and/or data processing experience. In this work, we introduced a set of simple and intuitively understandable metrics for assessing the quality of proteomic analysis, including the total experimental time and the number of spectral scans, ion accumulation time and intensity in both MS and MS/MS spectra, charge state distribution for precursor peptide ions, and the number of sequential MS/MS scans, etc. These metrics are implemented as an open-source utility, viQC, freely available at hg.theorchromo.ru/viQC. The developed tool has been tested experimentally using data from three different Orbitrap instruments and demonstrated its capability for assessing the possible flaws in the instrument’s operation and subsequent improving the efficiency of proteomic analysis."
On the Correct Averaging of the Equations of Ion Motion in High-Frequency Electric Fields,"December 2019, issue 14",/journal/10809/volumes-and-issues/74-14,https://link.springer.com/article/10.1134/S106193481914003X,"('ARTICLES',)",30 December 2019,"The pseudopotential approach is a useful tool for the qualitative description of ion motion in inhomogeneous high-frequency electric fields, often used in mass spectrometric devices. However, in the theoretical study of the motion of ions in high-frequency electric fields with close frequencies, mathematical ambiguity arises, caused by the nonequivalence of different mathematical approaches. The paper considers and compares the time-dependent pseudopotential model and the model of solenoidal (vortex) pseudoforces, that is, vortex drift. The vortex drift model in high-frequency electric fields with close frequencies can be replaced by the model of ion motion in a pseudopotential varying in time. The theory of almost periodic time signals with two characteristic time scales, fast and slow, eliminates the ambiguity in selecting the correct mathematical method for describing ion motion in high-frequency electric fields."
Quadrupole Ion Trap Time-of-Flight MALDI Mass Spectrometry: Hydration of Ions of Hydroxyl-Containing Compounds,"December 2019, issue 14",/journal/10809/volumes-and-issues/74-14,https://link.springer.com/article/10.1134/S1061934819140053,"('ARTICLES',)",30 December 2019,"A possibility of artifact formation associated with ion hydration in quadrupole ion trap MALDI mass spectra is shown for the first time on an example of a number of natural hydroxyl-containing compounds from various classes. It was found that, in using tandem mass spectrometry, both precursor ions and product ions are involved in the formation of adducts with water. The main source of water for ion-molecular interactions in the ion trap is provided by buffer and collision gases. The role of metal cations in the formation of analyte adducts with water is noted. For the majority of the studied hydroxyl-containing compounds, hydration proceeds most actively in cationization with lithium ions, with the peak of the [M+H2O+Li]+ ion dominating in the mass spectra."
Permanent-Charge Generation Derivatization for the Analysis of Thiols by “Soft” Ionization Mass Spectrometry Methods,"December 2019, issue 14",/journal/10809/volumes-and-issues/74-14,https://link.springer.com/article/10.1134/S1061934819140065,"('ARTICLES',)",30 December 2019,"A new method is proposed for the permanent-charge generation derivatization of thiols of different structures by a reaction with haloalkanes and dibromides. It was shown that 1,4-dibromobutane and 1,2-xylylene dibromide are the most effective alkylating agents, providing the formation of a stable five-membered ring with a positively charged sulfur atom. Such cations are readily detected by electrospray ionization and matrix-assisted laser desorption/ionization mass spectrometry. Sulfonium cations were further studied by tandem mass spectrometry using collision-induced dissociation (CID). Typical and specific CID directions for cyclic cations formed from thiols of different structures are revealed. They can be used to identify and quantify thiol analytes by the selected reaction monitoring method."
