title,issue,issue_href,url,content_type,publish_date,abstract
Proteins: Templates and Matrices in Molecular Imprinting,"August 2023, issue 8",/journal/10809/volumes-and-issues/78-8,https://link.springer.com/article/10.1134/S1061934823070110,REVIEWS,02 August 2023,This review considers the issues of molecular imprinting with the participation of proteins. Works in the field of bioimprinting published over the past five years and devoted to the determination of biomolecules and the enhancement of enzymatic activity are analyzed. Attention is focused on the imprinting of proteins as a method of modifying the molecular structure of proteins due to the formation of binding sites in the presence of substrates (proteins with molecular imprints or imprinted proteins). It is shown that the imprinting of proteins is promising for solving analytical problems. The ambiguous interpretation of the term bioimprinting in solving various problems is discussed.
Determination and Quantification of Cetirizine Dihydrochloride in Pharmaceutical Formulations and Biological Fluids Through Fluorescence Quenching of Eosin Y: Application to Content Uniformity Test,"August 2023, issue 8",/journal/10809/volumes-and-issues/78-8,https://link.springer.com/article/10.1134/S1061934823080129,ARTICLES,02 August 2023,"A simple, fast, sensitive, cost-effective, and well-proven spectrofluorimetric method has been developed for the quantification of cetirizine dihydrochloride (CTZ). The quenching effect of CTZ on the fluorescence intensity of Eosin Y was utilized to generate an ion-pair complex that can be detected at 549 nm using a 301 nm excitation wavelength in the presence of glycine buffer (pH 4.0) for the method development. The factors that influence reactions were thoroughly examined and optimized. With a determination coefficient of 0.9996, the fluorescence quenching value was linear to CTZ concentration in the range of 1–40 µg/mL. The estimated detection and quantification limits were determined to be 0.02 and 0.08 µg/mL, respectively. The method selectivity was validated by analyzing the effects of excipients, and no interference was found. The established approach was applied to determine the presence of CTZ in products available on the market as well as in biological samples. The methodology was validated using guidelines from the International Conference on Harmonization, and percent recoveries for pharmaceutical items varied from 90.6 to 103.5% and for biological fluids from 97.9 to 102.5%. The method has been successfully used for the content uniformity test with high percent recovery and low relative standard deviation."
Experience of the Determination of Fluorine in Rocks by X-Ray Fluorescence Spectrometry,"August 2023, issue 8",/journal/10809/volumes-and-issues/78-8,https://link.springer.com/article/10.1134/S1061934823080117,ARTICLES,02 August 2023,"The main fluorine-concentrating minerals in rocks are mainly apatites, amphiboles, micas, fluorites, sphenes, villiomites, in which fluorine is found in compounds with Ca, Mg, Na. The yield of the X‑ray fluorescence of fluorine depends on the element with which it is chemically bound. Taking into account this factor, three versions of calibration dependences for fluorine in the composition of CaF2, MgF2, and NaF were obtained using pressed tablets. Mixtures of these fluorides with granite, basalt, and limestone were used for calibration. To select an adequate calibration for the determination of fluorine in a batch of unknown samples, it was proposed to use the results of a selective analysis of fused samples of the batch."
A Green-Solvent Based Dispersive Liquid–Liquid Microextraction for Preconcentration and Cadmium Determination in Water and Food Samples by Flame Atomic Absorption Spectrometry,"August 2023, issue 8",/journal/10809/volumes-and-issues/78-8,https://link.springer.com/article/10.1134/S1061934823080075,ARTICLES,02 August 2023,"This research presents the use of deep eutectic solvents as a green and cost-effective extraction solvent in dispersive liquid–liquid microextraction of cadmium in food and environmental water specimen, where sodium diethyldithiocarbamate was employed as a complexing agent. A flame atomic absorption spectrometer was then used to quantify cadmium. The impacts of some effective variables such as deep eutectic solvent type and volume, pH, disperser solvent type and volume, diethyldithiocarbamate concentration, and extraction time were examined and optimized. Under optimal conditions, limit of detection was measured as 0.9 μg/L, while limit of quantification, enrichment factor, and relative standard deviation were 2.9 μg/L, 50, and 1.4%, respectively. The developed extraction method was successfully employed for Cd quantification in food and water. Recoveries of spiked samples varied in the range of 96.0–102.5%."
Adaptive Calibration in Electrothermal Atomic Absorption Spectrometry,"August 2023, issue 8",/journal/10809/volumes-and-issues/78-8,https://link.springer.com/article/10.1134/S1061934823080142,ARTICLES,02 August 2023,"A method is developed for determining concentrations in Zeeman electrothermal atomic absorption spectrometry based on the conversion of the transformation function of an atomic absorption spectrometer into a calibration dependence adapted to the matrix of the analyzed sample. The transformation function is expressed as a one-parameter saturation function, which is an integral optical characteristic of the spectrometer, independent of the composition of the analyzed sample. The algorithm of the method includes measurement of the analytical signals of an analyzed sample and a same sample with a known additive of the analyte and calculation of the matrix coefficient and the desired concentration of the analyte in the analyzed sample from these signals. The adaptive calibration method is tested for As, Au, Cd, Cu, Mo, Pd, Pb, Mo, Pd, Pb, Ti, V. The relative systematic error in determining the concentration of an element in the range of measuring the absorbance of atomic vapor does not exceed 10%. The analytical ranges for the elements exceed three orders of magnitude."
Effect of Organic Additives on the Intensity of Metal Lines in the Emission Spectrum of a Drop-Spark Discharge upon Sample Introduction into an Electrolyte Anode,"August 2023, issue 8",/journal/10809/volumes-and-issues/78-8,https://link.springer.com/article/10.1134/S1061934823080166,ARTICLES,02 August 2023,"The effect of the nature and concentration of organic medium modifiers on the intensity of lines of some heavy metals (Ag, Cd, Hg, Pb, Tl, Zn) in the spectrum of a drop-spark discharge upon sample introduction into an electrolyte anode is studied. It is shown that additives of 0.1–6 wt % of polar organic compounds greatly increase the intensity of Pb, Tl, and Zn lines and reduce the intensity of Ag lines. The greatest effect, a twenty-fold enhancement of zinc lines, is observed upon the introduction of methanol into dilute acids. The cadmium signal is insensitive to organic impurities in dilute acids, but is enhanced in concentrated salt solutions."
Characterization and Comparison of Automobile Paint Flakes as the Forensic Evidence,"August 2023, issue 8",/journal/10809/volumes-and-issues/78-8,https://link.springer.com/article/10.1134/S1061934823080051,ARTICLES,02 August 2023,"Automotive paint flakes are significant for the forensic scientists to use as the evidence for forensic purposes. Conducting the multichannel and scientific characterization and comparison of them is in urgent need to draw objective and fair conclusions, demonstrating the fair and equitable administration of justice. With the help of infrared spectroscopy (IR), Raman spectroscopy (Raman), scanning electron microscopy (SEM), energy disperse spectroscopy (EDS) and stereomicroscopy, the properties of three paint flakes from automobiles at the scene of the accident have been studied for forensic purposes in this paper. Primary discussion is progressed according to the stereomicroscope and SEM images, while the in-depth conclusion is proved by the component analysis acquired with EDS, IR and Raman. Furthermore, colors, thickness, sequence, microstructure and composition of layers provide much significant information. The third layers of all the samples show the significant changes clearly, indicating that sample C is different from samples A and B. However, the first, second and fourth layers give rise to consistent analysis profiles. The results of this study provide the significant fundamental information which can be used to analyze the paint flakes for forensic scientists."
Using Highly Sensitive Piezo Sensors in an Open System for the Diagnostic Analysis of Skin Volatile Substances,"August 2023, issue 8",/journal/10809/volumes-and-issues/78-8,https://link.springer.com/article/10.1134/S1061934823080105,ARTICLES,02 August 2023,"A single sensor with a piezoelectric quartz transducer is considered a platform for simulating an “electronic nose” that performs the function of a sensor array. The analytical task was to detect volatile organic compounds, component-by-component, in biosamples at diagnostically relevant concentrations without selecting mixtures or any sample preparation. We confirmed the fundamental possibility of utilizing a single sensor for the separate detection (recognition) of vapors of organic compounds and various functional states of a body during a short contact (60–80 s) with skin, the most representative and constantly performing bioassay. Modifying the electrodes of bulk acoustic wave piezoelectric quartz resonators with 2–4 μg of the nanohydroxyapatite phase is an essential step in solving the problem. The newly calculated adsorption kinetic parameters can be used to detect biomarkers of many diseases with high reliability, including С3–С5 alcohols, ketones, linear and cyclic amines, acids, aldehydes, etc. The hydroxyapatite sensor can detect molecules pointing to problems with many organs, and any abnormalities in the functioning of the nervous and cardiovascular systems. It can also measure the body’s responses and compensatory mechanisms in relation to stress, hunger, and fatigue. The sensor has a potential as a simple diagnostic and monitoring tool for point-of-care diagnostics of both adults and children."
Development of a Bioanalytical Method for the Determination of Aureofungin and Its Sodium Salt Derivative Using HPLC: an Application to Pharmacokinetic Studies,"August 2023, issue 8",/journal/10809/volumes-and-issues/78-8,https://link.springer.com/article/10.1134/S1061934823080154,ARTICLES,02 August 2023,"Since fungal infections are on the rise and with limited treatment options, there is a need to modify existing drugs either by making structural changes or making use of better drug delivery systems. Aureofungin, an antibiotic of a polyene class, is primarily used to prevent fungal infection in agriculture. However, it has limited application in clinical therapy due to high toxicity. Therefore, a water-soluble sodium salt derivative of aureofungin was synthesized as a promising antifungal agent, which required a bioanalytical method to be established for the quantitation in the biological matrix and thereby understanding its pharmacokinetics. As a result, in the present work, a simple and rapid reversed-phase high-performance liquid chromatography method was developed for the determination of aureofungin bulk and its water-soluble derivative in rat plasma. The analytes were separated in an isocratic mode using a C18 amide column (250 × 4.6 mm, 5 µm) and a mobile phase of 10 mM ammonium acetate (pH 4.0) and acetonitrile (55 : 45, v/v) with a flow rate of 1.0 mL/min at ambient temperature and detection at 378 nm. The analyte was efficiently extracted using a simple protein precipitation technique. The methodology was found to be linear (r2 ≥ 0.995), selective, repeatable (CV ≤ 15.0%), accurate (100 ± 15%), and free of any carryover effects. Under the investigated storage conditions, the bioanalytical samples demonstrated acceptable stability. An oral pharmacokinetic study in rats was then performed to verify the applicability of the method."
Profiling Detection and Validation of Six Sartan Substances in Human Urine by LC-MS/MS,"August 2023, issue 8",/journal/10809/volumes-and-issues/78-8,https://link.springer.com/article/10.1134/S1061934823080063,ARTICLES,02 August 2023,"Six sartan substances including telmisartan, losartan, valsartan, irbesartan, olmesartan, and candesartan were selected in this work. A simple and sensitive liquid chromatography–tandem mass spectrometry method was developed and validated to simutaniously detect six drugs. Linearity, LOD, and LOQ were satisfied for routine quantitative and qualitative detection. The linearity ranged from 2 to 1000 ng/mL with the determination coefficient more than 0.98. The intra-day and inter-day precisions were all below 27.5%. All the recoveries were above 80%, and matrix effects were between 25 and 120%. Profiling detection of six sartan substances in human urine was also developed after administration. Irbesartan urinary metabolic pathway was firstly investigated by liquid chromatography quadruple time-of-flight mass spectrometry using full scan and targeted tandem mass spectrometry techniques. Fifteen urinary metabolites of irbesartan were identified and characterized, and ten of them were firstly reported."
